City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,bull savanna,17.8868,-77.5902,31.26,60,36,5.17,JM,1691514384
229,tadmur,34.5608,38.2805,33.14,32,0,8.38,SY,1691514232
230,kirensk,57.7853,108.1119,18.51,71,85,0.68,RU,1691514386
231,vila do maio,15.1333,-23.2167,30.44,70,37,4.94,CV,1691514387
232,glasgow,55.8652,-4.2576,18.35,62,75,5.66,GB,1691514285
233,bikin,46.8161,134.26,18.53,98,98,1.92,RU,1691514389
234,kikwit,-5.041,18.8162,31.24,30,17,1.46,CD,1691514390
235,echuca,-36.1333,144.75,4.42,92,1,2.41,AU,1691514390
236,tarinkot,32.6268,65.8733,29.48,16,0,1.48,AF,1691514391
237,floro,61.5996,5.0328,12.04,93,75,11.83,NO,1691514130
238,oranjemund,-28.55,16.4333,13.47,88,0,10.09,NA,1691514393
239,minas de marcona,-15.2119,-75.1103,17.96,59,8,6.22,PE,1691514394
240,fort bragg,35.139,-79.006,32.12,57,0,5.14,US,1691514395
241,vratsa,43.21,23.5625,20.45,48,9,2.43,BG,1691514396
242,ierapetra,35.01,25.7353,28.41,52,0,0.89,GR,1691514397
243,chernyshevskiy,63.0128,112.4714,16.06,75,72,2.45,RU,1691514398
244,amahai,-3.3333,128.9167,28.94,86,83,3.57,ID,1691514399
245,kodiak,57.79,-152.4072,12.73,88,20,0.0,US,1691514400
246,karratha,-20.7377,116.8463,21.15,52,1,2.27,AU,1691514402
247,malvan,16.0667,73.4667,26.64,84,94,3.77,IN,1691514403
248,saint-francois,46.4154,3.9054,24.69,36,0,2.57,FR,1691514403
249,acarau,-2.8856,-40.12,30.91,58,20,9.0,BR,1691514404
250,coyhaique,-45.5752,-72.0662,10.97,46,75,5.66,CL,1691514405
251,sao vicente,-23.9631,-46.3919,23.1,26,100,0.89,BR,1691514406
252,port lincoln,-34.7333,135.8667,12.66,42,5,7.09,AU,1691514407
253,santa elena de uairen,4.6167,-61.1333,27.97,53,69,3.96,VE,1691514408
254,wynyard,-41.0,145.7167,6.16,93,18,2.12,AU,1691514409
255,geraldton,-28.7667,114.6,11.23,93,14,2.06,AU,1691514411
256,brookings,44.3114,-96.7984,24.65,62,20,3.09,US,1691514406
257,tepetzintla,21.1667,-97.8333,30.6,60,66,2.12,MX,1691514414
258,chimore,-16.9833,-65.1333,32.42,37,15,1.92,BO,1691514415
259,tsiombe,-25.3,45.4833,20.57,82,5,4.87,MG,1691514416
260,palmas,-10.2128,-48.3603,35.93,24,0,3.09,BR,1691514417
261,motueka,-41.1333,173.0167,2.83,88,10,1.81,NZ,1691514418
262,linqiong,30.4159,103.4609,25.11,88,5,1.02,CN,1691514418
263,la sarre,48.8002,-79.1996,23.46,44,64,3.51,CA,1691514420
264,raduzhny,62.0961,77.475,17.36,58,100,3.3,RU,1691514421
265,gubkinskiy,64.434,76.5026,17.87,53,82,3.07,RU,1691514422
266,svetlyy,54.675,20.1347,14.03,73,79,8.25,RU,1691514423
267,kapuskasing,49.4169,-82.4331,22.16,60,88,1.79,CA,1691514424
268,kulhudhuffushi,6.6221,73.07,28.1,77,100,5.79,MV,1691514425
269,askoy,60.4092,5.226,12.75,50,75,9.77,NO,1691514426
270,avarua,-21.2078,-159.775,17.03,94,39,1.03,CK,1691514427
271,yuzhno-kurilsk,44.0306,145.8556,16.41,100,100,2.44,RU,1691514428
272,labrador city,52.9463,-66.9114,20.12,43,99,4.04,CA,1691514429
273,broken hill,-31.95,141.4333,9.64,61,5,2.92,AU,1691514430
274,northam,51.0333,-4.2167,18.7,96,100,6.43,GB,1691514431
275,nishinoomote,30.7333,131.0,27.58,90,100,22.54,JP,1691514432
276,plouzane,48.3833,-4.6167,18.18,91,100,6.17,FR,1691514432
277,khalkhal,37.6189,48.5258,18.19,76,3,3.02,IR,1691514433
278,torghay,49.6339,63.4981,26.49,33,60,3.74,KZ,1691514434
279,mersing,2.4312,103.8405,25.77,87,6,2.5,MY,1691514435
280,ihosy,-22.4,46.1167,16.78,80,76,2.51,MG,1691514436
281,las cruces,32.3123,-106.7783,31.14,35,0,3.6,US,1691514207
282,bonanza,14.0289,-84.591,30.97,56,100,2.03,NI,1691514438
283,lebu,-37.6167,-73.65,14.28,56,94,2.88,CL,1691514439
284,kavieng,-2.5744,150.7967,26.75,78,99,3.25,PG,1691514440
285,seabra,-12.4186,-41.7703,27.4,44,37,3.76,BR,1691514200
286,luorong,24.4058,109.6086,26.27,90,41,1.56,CN,1691514442
287,whitehorse,60.7161,-135.0538,14.89,90,100,2.68,CA,1691514443
288,mahibadhoo,3.7833,72.9667,28.02,76,86,3.76,MV,1691514444
289,mokshan,53.4365,44.6132,23.48,54,0,2.64,RU,1691514445
290,gorontalo,0.5412,123.0595,23.57,92,13,1.88,ID,1691514446
291,krasnovishersk,60.4078,57.082,18.99,70,36,1.48,RU,1691514447
292,selfoss,63.9331,-20.9971,12.25,68,79,2.28,IS,1691514449
293,igarka,67.4667,86.5833,14.75,67,53,2.79,RU,1691514449
294,ironwood,46.4547,-90.171,25.31,37,7,2.73,US,1691514450
295,jiayuguan,39.8167,98.3,28.07,29,54,1.07,CN,1691514451
296,nioki,-2.7167,17.6833,28.5,52,67,1.77,CD,1691514452
297,san matias,-16.3667,-58.4,39.21,22,0,0.98,BO,1691514453
298,santona,43.4439,-3.4576,27.17,64,0,4.15,ES,1691514454
299,khovd,48.0056,91.6419,19.87,50,100,2.34,MN,1691514455
300,lipayran,11.0593,123.6342,28.54,75,17,3.32,PH,1691514456
301,richards bay,-28.783,32.0377,18.93,73,0,3.84,ZA,1691514457
302,kill devil hills,36.0307,-75.676,31.1,66,0,4.63,US,1691514451
303,shingu,33.7333,135.9833,26.56,94,74,4.18,JP,1691514459
304,east london,-33.0153,27.9116,17.9,77,83,8.4,ZA,1691514460
305,galliano,29.4422,-90.2992,37.22,55,40,4.12,US,1691514461
306,al qubbah,32.7616,22.2424,22.06,69,0,9.4,LY,1691514462
307,concordia,-31.393,-58.0209,15.44,64,89,5.36,AR,1691514462
308,crucecita,-28.95,-58.9833,18.58,58,100,3.98,AR,1691514464
309,tahoua,14.8888,5.2692,30.14,52,95,1.64,NE,1691514465
310,yigo village,13.5361,144.8886,26.62,92,0,2.57,GU,1691514465
311,port alfred,-33.5906,26.891,15.66,89,96,1.79,ZA,1691514466
312,'alaqahdari dishu,30.4374,63.313,35.3,11,0,8.1,AF,1691514467
313,tanjung pandan,-2.75,107.65,24.65,83,21,2.91,ID,1691514469
314,necochea,-38.5473,-58.7368,10.43,52,100,7.16,AR,1691514470
315,saudarkrokur,65.7461,-19.6394,12.38,54,59,4.15,IS,1691514471
316,emerald,-23.5333,148.1667,13.37,77,1,2.07,AU,1691514472
317,bunbury,-33.3333,115.6333,11.48,63,29,4.51,AU,1691514473
318,dudinka,69.4058,86.1778,15.44,64,37,2.04,RU,1691514474
319,le port,-20.9373,55.2919,21.0,92,21,2.68,RE,1691514475
320,chudovo,59.1167,31.6833,20.46,61,18,2.35,RU,1691514475
321,hammonton,39.6365,-74.8024,25.95,74,35,6.84,US,1691514294
322,plesetsk,62.708,40.2916,18.17,67,0,2.73,RU,1691514478
323,papatowai,-46.5619,169.4708,5.29,86,100,4.94,NZ,1691514479
324,ruidoso,33.3317,-105.673,25.29,39,0,4.63,US,1691514337
325,afif,23.9065,42.9172,33.78,9,2,3.54,SA,1691514481
326,fale old settlement,-9.3852,-171.2468,28.23,71,61,6.09,TK,1691514482
327,buka,40.8108,69.1986,28.37,27,65,3.3,UZ,1691514483
328,recreo,-29.2818,-65.061,17.52,33,53,5.22,AR,1691514484
329,hasaki,35.7333,140.8333,27.95,94,76,5.99,JP,1691514485
330,naantali,60.4674,22.0243,16.91,86,20,4.63,FI,1691514487
331,mangrol,21.1167,70.1167,27.08,84,100,8.41,IN,1691514488
332,vorgashor,67.5833,63.95,11.09,78,100,4.15,RU,1691514489
333,goseong,34.9763,128.3236,27.02,88,25,4.83,KR,1691514490
334,pangkalan brandan,4.0238,98.2782,23.54,94,42,1.25,ID,1691514491
335,kone,-21.0595,164.8658,15.25,87,8,1.91,NC,1691514492
336,cherepovets,59.1333,37.9,23.9,64,20,2.0,RU,1691514493
337,west end,26.6833,-78.9667,32.99,74,12,3.73,BS,1691514494
338,vila velha,-20.3297,-40.2925,25.97,81,40,7.2,BR,1691514495
339,horta,38.5333,-28.6333,24.45,82,40,5.81,PT,1691514496
340,uliastay,47.7417,96.8444,18.51,51,100,2.35,MN,1691514498
341,coronel suarez,-37.4547,-61.9334,11.36,39,82,6.82,AR,1691514499
342,kununurra,-15.7667,128.7333,15.99,72,47,0.51,AU,1691514500
343,sitka,57.0531,-135.33,13.94,94,75,0.0,US,1691514501
344,boa vista,2.8197,-60.6733,30.99,62,75,6.69,BR,1691514502
345,kapa'a,22.0752,-159.319,27.18,82,100,8.23,US,1691514503
346,antsiranana,-12.2787,49.2917,22.69,81,9,5.41,MG,1691514442
347,tuba city,36.135,-111.2399,31.32,36,11,7.15,US,1691514505
348,tobol'sk,58.2,68.2667,17.67,67,0,2.43,RU,1691514506
349,archangelos,36.2149,28.1149,27.99,65,0,4.61,GR,1691514507
350,menaka,15.9182,2.4022,33.94,38,100,1.53,ML,1691514508
351,kayangel,8.0823,134.7173,27.14,82,100,8.1,PW,1691514509
352,nar'yan-mar,67.6713,53.087,12.4,64,78,3.08,RU,1691514510
353,luderitz,-26.6481,15.1594,17.88,63,0,10.44,NA,1691514510
354,waddan,29.1614,16.139,33.34,25,0,6.93,LY,1691514511
355,pariaman,-0.619,100.12,24.03,87,99,1.36,ID,1691514512
356,aberdeen,57.1437,-2.0981,16.41,67,40,8.75,GB,1691514514
357,sultanah,24.4926,39.5857,39.25,10,0,4.63,SA,1691514514
358,kampene,-3.6,26.6667,24.39,63,89,0.94,CD,1691514515
359,swakopmund,-22.6833,14.5333,16.66,78,6,1.34,NA,1691514516
360,tubarjal,30.4999,38.216,33.99,12,0,4.7,SA,1691514517
361,magole,-6.3667,37.3667,24.14,51,63,1.24,TZ,1691514518
362,midland,31.9974,-102.0779,32.67,45,0,4.63,US,1691514356
363,faya-largeau,17.9257,19.1043,38.34,27,6,3.93,TD,1691514520
364,orcopampa,-15.2661,-72.3417,13.96,32,5,0.93,PE,1691514521
